2019-10-23 19:46:28 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 15,26; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 913.0; Tile: ROAD
2019-10-23 19:46:28 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 15,27; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 912.0; Tile: ROAD
2019-10-23 19:46:28 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 15,28; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 911.0; Tile: ROAD
2019-10-23 19:46:28 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 16,28; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 910.0; Tile: ROAD
2019-10-23 19:46:28 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 16,29; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 909.0; Tile: ROAD
2019-10-23 19:46:29 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 16,30; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 908.0; Tile: ROAD
2019-10-23 19:46:29 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 16,31; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 907.0; Tile: ROAD
2019-10-23 19:46:29 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 16,31; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 907.0; Tile: ROAD
2019-10-23 19:46:29 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 16,30; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 906.0; Tile: ROAD
2019-10-23 19:46:29 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 16,29; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 905.0; Tile: ROAD
2019-10-23 19:46:29 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 16,28; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 904.0; Tile: ROAD
2019-10-23 19:46:29 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 16,27; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 903.0; Tile: ROAD
2019-10-23 19:46:29 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 16,26; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 902.0; Tile: ROAD
2019-10-23 19:46:29 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 17,26; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 901.0; Tile: ROAD
2019-10-23 19:46:29 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 18,26; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 900.0; Tile: ROAD
2019-10-23 19:46:29 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 19,26; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 899.0; Tile: ROAD
2019-10-23 19:46:29 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 20,26; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 898.0; Tile: ROAD
2019-10-23 19:46:29 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 21,26; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 897.0; Tile: ROAD
2019-10-23 19:46:29 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 22,26; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 896.0; Tile: ROAD
2019-10-23 19:46:29 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 23,26; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 895.0; Tile: ROAD
2019-10-23 19:46:29 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 24,26; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 894.0; Tile: ROAD
2019-10-23 19:46:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 25,26; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 893.0; Tile: ROAD
2019-10-23 19:46:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 26,26; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 892.0; Tile: ROAD
2019-10-23 19:46:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 27,26; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 891.0; Tile: ROAD
2019-10-23 19:46:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 28,26; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 890.0; Tile: ROAD
2019-10-23 19:46:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 29,26; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 889.0; Tile: ROAD
2019-10-23 19:46:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 30,26; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 888.0; Tile: ROAD
2019-10-23 19:46:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 31,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 887.0; Tile: ROAD
2019-10-23 19:46:30 INFO  Car - Speed:   0.0; Angle:   EAST; Position: 31,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 887.0; Tile: ROAD
2019-10-23 19:46:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 30,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 886.0; Tile: ROAD
2019-10-23 19:46:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 29,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 885.0; Tile: ROAD
2019-10-23 19:46:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 28,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 884.0; Tile: ROAD
2019-10-23 19:46:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 27,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 883.0; Tile: ROAD
2019-10-23 19:46:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 26,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 882.0; Tile: ROAD
2019-10-23 19:46:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 25,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 881.0; Tile: ROAD
2019-10-23 19:46:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 24,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 880.0; Tile: ROAD
2019-10-23 19:46:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 23,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 879.0; Tile: ROAD
2019-10-23 19:46:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 22,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 878.0; Tile: ROAD
2019-10-23 19:46:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 21,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 877.0; Tile: ROAD
2019-10-23 19:46:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 20,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 876.0; Tile: ROAD
2019-10-23 19:46:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 19,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 875.0; Tile: ROAD
2019-10-23 19:46:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 18,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 874.0; Tile: ROAD
2019-10-23 19:46:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 17,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 873.0; Tile: ROAD
2019-10-23 19:46:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 16,26; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 872.0; Tile: ROAD
2019-10-23 19:46:31 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 16,27; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 871.0; Tile: ROAD
2019-10-23 19:46:31 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 16,28; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 870.0; Tile: ROAD
2019-10-23 19:46:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 15,28; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 869.0; Tile: ROAD
2019-10-23 19:46:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 14,28; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 868.0; Tile: ROAD
2019-10-23 19:46:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 13,28; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 867.0; Tile: ROAD
2019-10-23 19:46:31 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 13,29; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 866.0; Tile: ROAD
2019-10-23 19:46:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 12,29; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 865.0; Tile: ROAD
2019-10-23 19:46:31 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 12,30; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 864.0; Tile: ROAD
2019-10-23 19:46:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 11,30; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 863.0; Tile: ROAD
2019-10-23 19:46:32 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 11,31; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 862.0; Tile: ROAD
2019-10-23 19:46:32 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 11,32; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 861.0; Tile: ROAD
2019-10-23 19:46:32 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 10,32; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 860.0; Tile: ROAD
2019-10-23 19:46:32 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  9,32; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 859.0; Tile: ROAD
2019-10-23 19:46:32 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  8,32; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 858.0; Tile: ROAD
2019-10-23 19:46:32 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  7,32; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 857.0; Tile: ROAD
2019-10-23 19:46:32 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  6,32; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 856.0; Tile: ROAD
2019-10-23 19:46:32 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  5,32; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 855.0; Tile: ROAD
2019-10-23 19:46:32 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  5,32; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 855.0; Tile: ROAD
2019-10-23 19:46:32 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  6,32; Parcels:      2; Health: 200.0; Health Usage: 200.0; Fuel: 854.0; Tile: ROAD
